"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","test_delete_prediction","tests","Thu Sep 11 08:31:48 UTC 2025","broken","Thu Sep 11 08:31:48 UTC 2025","Test_Delete","test_delete","",""
"Test that the predict endpoint returns processing time","135","test_predict_includes_processing_time","tests","Thu Sep 11 08:31:51 UTC 2025","failed","Thu Sep 11 08:31:52 UTC 2025","TestProcessingTime","test_prediction_time","",""
"","15","test_get_prediction_image_success_png","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:49 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","15","test_get_prediction_image_not_acceptable","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","26","test_get_predicted_image_success","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetImage","test_get_image_type","",""
"","134","test_get_prediction_by_uid_success","tests","Thu Sep 11 08:31:51 UTC 2025","broken","Thu Sep 11 08:31:51 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","27","test_prediction_count_empty","tests","Thu Sep 11 08:31:51 UTC 2025","passed","Thu Sep 11 08:31:51 UTC 2025","Test_Count","test_prediction_count","",""
"","15","test_get_prediction_image_not_found_in_db","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","128","test_get_prediction_by_uid_not_found","tests","Thu Sep 11 08:31:51 UTC 2025","broken","Thu Sep 11 08:31:51 UTC 2025","TestGetPredictionByUid","test_prediction_by_uid","",""
"","409","test_get_predictions_by_invalid_label","tests","Thu Sep 11 08:31:50 UTC 2025","broken","Thu Sep 11 08:31:50 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","20","test_get_image_unauthorized","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetImage","test_get_image_type","",""
"","17","test_stats_empty","tests","Thu Sep 11 08:31:52 UTC 2025","passed","Thu Sep 11 08:31:52 UTC 2025","Test_Stats","test_stats","",""
"","23","test_missing_username_or_password","tests","Thu Sep 11 08:31:49 UTC 2025","passed","Thu Sep 11 08:31:50 UTC 2025","TestLogin","test_login","",""
"","18","test_get_prediction_image_file_not_found","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","20","test_get_invalid_image_type","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetImage","test_get_image_type","",""
"","127","test_get_predictions_by_high_score","tests","Thu Sep 11 08:31:51 UTC 2025","failed","Thu Sep 11 08:31:51 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"","24","test_prediction_unsupported_format","tests","Thu Sep 11 08:31:50 UTC 2025","passed","Thu Sep 11 08:31:50 UTC 2025","Test_Stats","test_prediction","",""
"","135","test_prediction_unauthorized_and_image_no_lable","tests","Thu Sep 11 08:31:50 UTC 2025","failed","Thu Sep 11 08:31:50 UTC 2025","Test_Stats","test_prediction","",""
"","137","test_prediction_valid_image","tests","Thu Sep 11 08:31:50 UTC 2025","failed","Thu Sep 11 08:31:50 UTC 2025","Test_Stats","test_prediction","",""
"","144","test_stats_after_prediction","tests","Thu Sep 11 08:31:52 UTC 2025","passed","Thu Sep 11 08:31:52 UTC 2025","Test_Stats","test_stats","",""
"","17","test_get_prediction_image_success_jpeg","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
"","144","test_prediction_count_after_prediction","tests","Thu Sep 11 08:31:51 UTC 2025","passed","Thu Sep 11 08:31:51 UTC 2025","Test_Count","test_prediction_count","",""
"","426","test_get_predictions_by_valid_label","tests","Thu Sep 11 08:31:50 UTC 2025","broken","Thu Sep 11 08:31:51 UTC 2025","TestGetPredictionsByLabel","test_prediction_by_lable","",""
"","19","test_successful_login","tests","Thu Sep 11 08:31:50 UTC 2025","passed","Thu Sep 11 08:31:50 UTC 2025","TestLogin","test_login","",""
"","126","test_get_predictions_by_score_valid","tests","Thu Sep 11 08:31:51 UTC 2025","failed","Thu Sep 11 08:31:51 UTC 2025","TestGetPredictionsByScore","test_prediction_min_score","",""
"Test prediction endpoint using an image from Pixabay.","934","test_labels_after_prediction","tests","Thu Sep 11 08:31:49 UTC 2025","failed","Thu Sep 11 08:31:49 UTC 2025","Test_labels","test_labels","",""
"","21","test_get_nonexistent_image","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","TestGetImage","test_get_image_type","",""
"","21","test_prediction_inference_error","tests","Thu Sep 11 08:31:50 UTC 2025","passed","Thu Sep 11 08:31:50 UTC 2025","Test_Stats","test_prediction","",""
"","22","test_detete_not_found","tests","Thu Sep 11 08:31:48 UTC 2025","passed","Thu Sep 11 08:31:48 UTC 2025","Test_Delete","test_delete","",""
"","14","test_get_prediction_image_unauthorized","tests","Thu Sep 11 08:31:49 UTC 2025","passed","Thu Sep 11 08:31:49 UTC 2025","TestGetPredictionImage","test_get_prediction_image_by_uid","",""
